u,LL1_Kp_Sdown_to_LL2_Kp_Sdown,LL1_Km_Sdown_to_LL2_Km_Sdown,LLm2_Kp_Sup_to_LL1_Kp_Sup,LLm2_Km_Sup_to_LL1_Km_Sup,LLm2_Kp_Sdown_to_LL1_Kp_Sdown,LL1_Km_Sup_to_LL2_Km_Sup
-8.0,73.66526113655728,66.80334097182903,43.713335284358756,51.143740188204966,,
-7.0,73.21539161236942,67.21130938943459,44.15654066573102,50.65826658232351,,
-6.0,72.76832799533581,67.62204464448635,44.602581241232215,50.17557961304948,,
-5.0,72.32407053937389,68.03555250184121,45.0514565555279,49.69568569567998,,
-4.0,71.88261902346562,68.4518382838222,45.503165683887765,49.21859080653607,,
-3.0,71.4439727521932,68.87090686544765,45.95770723254294,48.744300478344314,,
-2.0,71.00813055667913,69.29276267001319,46.4150793394504,48.272819795976154,,
-1.0,70.57509079593034,69.71740966503886,46.87527967546374,47.80415339255012,,
0.0,69.00864044245421,69.00864035489678,47.342990516568555,47.34299053490527,,
1.0,69.71740966503887,70.57509079593035,47.80415339255012,46.87527967546374,,
2.0,69.29276267001322,71.00813055667915,48.27281979597616,46.4150793394504,,
3.0,68.87090686544767,71.44397275219319,48.744300478344314,45.95770723254294,,
4.0,68.4518382838222,71.88261902346562,49.218590806536064,45.503165683887765,,
5.0,68.03555250184121,72.32407053937393,49.69568569567997,45.05145655552789,,
6.0,67.62204464448637,72.76832799533585,50.17557961304947,44.602581241232215,,
7.0,67.21130938943462,73.21539161236947,50.65826658232352,44.15654066573102,,
8.0,66.80334097182903,73.66526113655729,51.143740188204966,43.713335284358756,,
9.0,66.39813318939557,74.11793583891779,51.631993581383405,43.27296508310527,,
10.0,65.99567940789382,74.57341451568084,52.12301948383653,42.83542957907575,,
11.0,65.5959725668939,75.03169548896864,52.616810194457955,42.40072782135928,,
12.0,,64.47275356334411,62.971293969254404,,62.97129396925435,64.47275356334421
13.0,,65.01236913684119,63.54375181294253,,63.543751812942524,65.01236913684124
14.0,,65.55520416804279,64.11914716482181,,64.11914716482178,65.55520416804282
15.0,,66.1012581346233,64.69746740226216,,64.69746740226209,66.10125813462332
16.0,,66.65051603273676,65.27868960369273,,65.2786896036927,66.65051603273673
17.0,,67.20295857978029,65.86278791963704,,65.86278791963697,67.20295857978037
18.0,,67.75856461099623,66.4497352975747,,66.44973529757469,67.75856461099625
19.0,,68.31731182395033,67.03950402075392,,67.03950402075391,68.31731182395033
20.0,,68.87917706498085,67.63206591998954,,67.63206591998957,68.87917706498087
21.0,,69.44413646292202,68.2273924766011,,68.22739247660111,69.44413646292206
22.0,,70.01216550447685,68.82545488352989,,68.82545488352994,70.01216550447683
23.0,,70.5832390848292,69.4262240883866,,69.42622408838675,70.58323908482922
24.0,,71.15733154682485,70.02967082782756,,70.02967082782757,71.15733154682489
25.0,,71.73441671449714,70.63576565733597,,70.63576565733597,71.73441671449717
26.0,,72.3144679236228,71.24447897831138,,71.24447897831138,72.31446792362277
27.0,,72.89745805062662,71.85578106340688,,71.8557810634069,72.89745805062662
28.0,,73.48335954050835,72.469642080607,,72.46964208060713,73.48335954050842
29.0,,74.0721444341459,73.08603211631262,,73.08603211631272,74.07214443414594
30.0,,74.66378439515788,73.70492119758052,,73.70492119758055,74.66378439515788
31.0,,75.2582507364184,74.32627931359998,,74.32627931360004,75.25825073641838
32.0,,75.85551444626552,74.95007643645341,,74.95007643645356,75.85551444626546
33.0,,76.45554621441354,75.576282541188,,75.57628254118801,76.4555462144135
34.0,,77.05831645755947,76.2048676252107,,76.20486762521064,77.05831645755941
35.0,,77.66379534467058,76.8358017270127,,76.8358017270127,77.66379534467049
36.0,,78.27195282192528,77.4690549442276,,77.46905494422755,78.27195282192525
37.0,,78.88275863728416,78.10459745102203,,78.1045974510221,78.88275863728413
38.0,,79.49618236465876,78.74239951482033,,78.74239951482025,79.49618236465875
39.0,,80.1121614167892,79.38181524380539,,79.38181524380545,80.1121614167892
